Median	Random	Mean	Drop Down
21644852	1662305	1439490	1832909
26583647	3512040	2386061	2909694
24453164	1663017	1414691	2049030
25029132	1662148	2943802	3448482
22318939	2624529	1599403	2142298
21968771	1674197	1446756	3977035
22995187	2488561	1580042	1973134
22527442	1701121	1452978	1971839
26930366	1617415	2432791	3939271
22465226	1897155	1475441	1909573
21979768	1728833	1515088	1820094
22894016	1761894	1423685	1851722
21583993	1658586	1439528	1748099
22293205	1642052	1467702	2105037
22679192	2576818	2461931	3850656
25220081	3180549	2861068	1783799
23788816	1687915	1415021	2527829
21661798	2022688	2088475	2978961
21862832	1626690	1408259	2247665
22207160	1648876	1405410	1943391
22821176	1687327	1449778	1791526
21606882	1723544	2105705	2177448
21654567	1637062	1397370	1703415
21719620	1683397	1430473	1781528
22019281	1713032	1711467	1803826
22125434	1762934	1433441	1934445
22160069	1720107	1459868	2158328
22501711	1693665	1461243	1890758
22150867	2154241	1457572	1971271
22125767	1691164	1424052	1830131
