Median	Random	Mean	Drop Down
15996	2829	2459	1747
6175	1340	952	573
10251	1211	911	658
7206	1055	1098	623
5967	1359	867	287
6200	1160	896	564
10833	2846	1911	1154
7053	1387	1126	922
10139	2075	1593	1317
7736	1832	1447	1011
12055	2195	1929	1293
13453	1183	1009	543
8855	2493	1072	1409
6604	1301	1110	702
6670	1276	921	704
5975	1055	963	639
5455	1430	993	637
5813	1116	1495	1076
5307	2646	2352	1074
12238	1854	2493	1361
5638	1464	974	727
5972	1022	882	600
7794	1441	906	695
5458	1109	896	715
5848	1256	887	657
11404	2165	847	570
5918	1239	856	691
6833	1139	1070	664
5717	1192	911	741
6012	1267	2213	1391
