Median	Random	Mean	Drop Down
15188	3849	2866	2733
6292	1284	1074	857
6213	1260	1080	1042
7164	1343	1065	1069
5695	1229	969	1002
6147	1371	1569	1467
13069	2864	2278	2064
7288	1440	1011	900
6860	1363	1063	1984
6612	1337	1102	861
6458	1461	1146	847
6240	1236	2581	2494
13678	2410	1954	1828
6629	1670	1118	1178
6779	1256	1069	1057
6006	1419	1004	1132
6083	1330	922	860
12451	2268	1812	1820
17778	2849	1094	1090
14490	1161	971	1119
6647	1535	1090	1035
6418	1354	1068	1046
6377	1245	1056	671
6703	1327	1251	1044
5975	1187	1037	912
9204	2118	1704	1527
7422	1106	1144	837
8231	1509	2273	2311
6780	1225	1009	848
10902	2193	1781	1300
