Median	Random	Mean	Drop Down
928595	195656	153923	167149
918220	178383	155516	156758
1753473	407332	345223	150811
960815	173243	150039	151362
922187	182624	155591	155835
876856	169223	150593	167714
1582804	297672	156349	158743
907065	172048	153973	156843
867937	196614	156878	157017
955876	174535	164840	160067
1361109	277729	263606	344950
1745840	553786	397111	392699
926186	173185	156739	157738
1402152	321308	324551	329829
2031417	408213	193291	154254
969121	183358	179691	164962
1976876	175122	159295	158560
893774	174701	154693	157126
962125	168684	153128	165681
935954	176354	155997	162381
902523	177859	242558	159577
891147	168266	217519	167741
893293	284912	319551	332684
917092	176210	154093	160306
872330	467820	414836	391908
907219	182519	156390	157056
919374	171067	152251	207665
913809	168228	150364	152187
902584	174329	155588	155291
2588888	350294	262380	267461
