Median	Random	Mean	Drop Down
29767387	1115528	786687	3608779
31549490	1040282	1320617	3201593
34255480	1952072	1441896	4035803
29072197	1133486	764934	2783792
34187883	1062779	760608	4109878
33135761	1060665	763155	2706594
34494303	1590566	1126111	3205076
31427076	1594940	767009	2757657
33021762	2763703	752800	4112798
31829169	1046267	741961	2111821
31479686	1115680	764975	3037903
30647646	1464276	837120	3302550
29404663	1055796	761067	3773934
31631954	1083086	783938	4167882
30206499	1092438	759253	2103824
31023423	1083013	808085	6201735
28880762	1822682	1452545	3663335
28256797	1105939	789455	2968614
30502703	1117803	796042	2933516
30361951	1089566	824637	2996460
31998940	1253945	905604	2780369
29255599	1073470	772516	2075770
31326268	1122854	792221	2313875
32916439	1266569	768291	2662755
30052797	1116916	759799	3084216
30052067	1209742	766067	3071129
30217216	1111422	757147	3942509
32963699	1083015	771529	2886844
29978684	1143644	764455	2600324
28912939	1129278	760112	3963513
