Median	Random	Mean	Drop Down
105961	9169	14747	8552
68340	8141	5743	3528
93083	9201	6298	3282
178917	29737	11432	7370
68782	8904	6795	3844
83619	9211	7055	4202
75810	8525	6620	3754
89259	9381	7103	3741
74394	8348	6065	5242
76597	8818	7376	4257
91313	8533	6441	3689
70138	9310	6305	3821
62148	8768	6475	3579
63763	8472	6572	3788
72443	8881	6153	3652
77629	9142	6967	4045
74362	8474	6374	3779
64986	7881	6094	3450
78455	7849	5648	3831
70553	8705	6333	3966
80297	10224	7271	4755
105793	11998	8643	3536
162112	16934	11885	7363
92458	9648	6417	4145
75904	8313	6356	4470
66165	8756	5560	3980
70496	10678	5874	3885
72448	13016	9640	5367
73109	9717	7442	3490
169058	8858	6478	5613
