Median	Random	Mean	Drop Down
248195983837	219825533	191652528	289651287
246517453653	221285726	191696377	283227119
247388646370	219331911	191494432	261864295
251522718337	222237158	191642585	273951331
244910308609	219544822	191064107	275427096
245417404493	218200883	190596935	268405875
251445217536	218993049	190703726	292249669
318247492892	218565471	190542008	275776339
248804630831	218505080	190134102	298643844
245436002130	219853982	189674571	258685503
246360984045	222377818	191372982	281308220
246057977507	217425504	189760586	265253167
248650937370	220831685	190186176	260154289
243160530701	218982543	188337561	271576644
246875223556	220802745	190306464	320003317
246178386700	217978001	189188815	268333672
245705558300	220434413	190031260	268134878
245206914615	217812460	190340274	274889423
246881941425	218698988	191293749	254081704
246142530250	217856753	190366400	279409491
247261229930	218253903	191657508	290240665
248476783373	220215939	191240118	279678459
244564872151	218273526	190683271	266813536
247186628254	222949305	189944475	254907827
247115286534	221093279	190107111	278729652
247503860960	219125619	192313840	297976425
247394253399	219657601	190008708	267779271
246715991533	218640527	190944277	295200650
245195773381	219689018	189187299	275839975
243397732504	217724426	189375742	270900001    
