Median	Random	Mean	Drop Down
69817	14804	12671	12622
78276	15365	12896	12558
159972	23836	42564	18413
120554	14547	11945	12647
74598	14581	12390	13404
70804	14542	12345	12216
72522	19393	12412	12445
69356	14207	12393	12658
76953	15344	12856	12650
71314	14608	12561	13338
71690	14343	12523	12134
73832	14556	12016	12789
68058	15118	14692	12754
80358	15082	13118	12582
73110	14686	12543	12376
72432	16114	12267	20682
71279	15164	13005	13173
70772	14723	12390	12629
68337	13944	12184	12348
99429	13930	13972	14329
106315	21649	25272	18183
71234	14161	15787	32364
70020	14247	11297	12893
69267	14605	12858	12706
65767	14909	13833	12891
70614	14553	12485	12719
74110	14420	12831	12865
100402	16360	14384	14212
65908	13830	23847	16720
92249	18497	15689	16163
