Median	Random	Mean	Drop Down
1538844	90478	64737	130284
1313696	105200	60256	130413
1221543	100785	66319	123993
1232968	92730	63344	118127
1169580	92883	60750	87941
1208880	104518	65653	102201
1231114	93628	146002	89792
1165028	179429	64609	120458
1188607	96927	67346	76661
1150769	95969	65681	129303
1131655	91172	62175	102402
2024588	112095	113538	188963
2071438	127123	83350	144092
1291515	149547	61481	211459
1936446	98383	65104	111457
1142894	103544	76144	94266
1104135	93434	63072	106972
1569646	128052	102190	166464
1091664	97103	61269	120066
1469075	96128	62587	107548
1186241	115914	60196	115104
1265346	103754	78219	112544
1301427	105191	65481	122168
1637951	112913	79217	147250
1102731	93502	60954	142388
1493059	93474	65167	108385
1234109	96097	66858	188069
1252331	93810	66040	87118
1340611	93203	68477	102240
1266852	91828	64086	124898
