Median	Random	Mean	Drop Down
9039	1731	1225	1297
9162	1566	3173	2508
7753	1414	1225	1166
7732	1645	1343	1345
7598	1740	1523	1265
21421	2459	2245	2264
6618	1347	1093	1182
6923	1461	2668	2027
6865	1398	2328	1556
6681	1212	2302	2019
12840	2398	2033	2398
12731	2606	2318	1986
17965	1859	1438	1621
7942	1506	1189	1356
6282	1498	1084	1242
7780	1368	1160	1012
6252	1180	949	943
14237	2430	1159	1088
7344	2345	1832	2050
6360	1364	1135	1348
7663	1490	1256	1374
7441	1657	1189	1199
7084	1348	1239	1109
7552	1318	1084	1064
6524	1482	2120	2376
9364	2132	1542	1361
6966	1485	1736	1159
13600	1445	1220	1189
6726	1362	1005	1072
13661	2646	1130	1266
