Median	Random	Mean	Drop Down
2133185824	13160745	9398336	52232384
2067156058	12912480	9172452	47284984
2086566149	12841076	8971623	45929554
2110405451	12584402	9184358	58045868
2079291516	15257984	8938279	48422284
2196445245	13275935	9236675	84594228
2069732304	14188592	9324499	57559108
2110925624	13245086	9085366	139256883
2058411211	12624877	9394774	75047875
2087842519	12885842	9296210	82492167
2071165721	13029382	9299682	63476572
2068901525	12872389	10237970	52497428
2064493907	13776258	10348130	47380131
2102227115	13391747	9385273	46395431
2071312321	13640888	9341122	70726070
2075089974	13507732	9979330	57460628
2124646596	13521777	9349476	51724288
2099409882	13516056	9167536	59624372
2090738881	14638571	9040412	43028711
2071377415	12917897	9480676	66970617
2038625018	13932472	10370395	50638166
2018376478	14175170	9382569	61300310
2100496108	13658671	9336387	49630401
2050334766	13098884	9150826	53494624
2045705953	16876723	9829101	48127772
2039915182	13810725	9051037	49742473
2086342617	14787823	9152358	83071258
2108004020	13193332	9321425	70388696
2065351773	13446284	9416907	57132309
2058280842	12941359	9511865	64643488
