Median	Random	Mean	Drop Down
138778	21495	10729	10298
62752	11524	10086	10972
60475	18514	15945	19592
121563	24445	9752	9132
58148	12273	10328	10701
64001	12697	11608	9794
65619	12527	10754	10360
66149	12115	9498	9976
66726	12987	10168	10311
60757	11635	9461	9662
66022	11847	9705	9710
64718	12418	10210	10307
68624	12659	10345	10430
59483	12655	8892	9528
70896	11971	11897	10125
61050	11505	9962	10070
57758	12937	10508	10315
66119	11305	9586	9902
61548	12145	9591	8500
63714	11055	8936	9471
58203	22664	30470	40097
60485	11998	9879	9438
113286	11687	9327	8205
62737	12727	9737	10279
58870	12111	12257	9011
58651	11492	9381	9437
61608	12189	11593	9878
84381	17308	16310	16110
67100	11981	21922	9100
81880	17074	36989	33129
